datetime,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,duration
2024-11-24 08:04:38,6.7,0.6,65.0,0.0,,270.0,16.6,,999.9,,4.0,1436.35302734375
2025-03-13 18:14:32,6.1,-1.8,57.0,0.0,,80.0,25.9,,1022.6,,4.0,1487.14501953125
2025-03-20 18:05:53,6.7,6.7,100.0,0.0,,70.0,14.8,,1009.9,,3.0,1442.0439453125
2025-04-03 17:34:44,16.1,13.4,84.0,0.0,,200.0,22.3,,1013.2,,7.0,1431.425048828125
2025-04-10 18:08:24,6.7,-2.7,51.0,0.0,,80.0,22.3,,1028.1,,3.0,1428.23095703125
2025-04-17 17:40:33,14.4,-4.4,27.0,0.0,,280.0,25.9,26.0,1014.3,,2.0,1412.8470458984375
2025-04-24 18:08:17,16.1,3.2,42.0,0.0,,110.0,29.5,,1024.7,,2.0,1411.1739501953125
2025-05-01 18:09:14,12.2,3.2,54.0,0.0,,110.0,25.9,,1021.1,,3.0,1419.633056640625
2025-05-09 07:08:33,11.7,10.6,93.0,0.0,,40.0,16.6,,1017.1,,5.0,1432.39404296875
2025-05-16 06:51:57,17.8,16.7,93.0,0.0,,220.0,9.4,,1008.8,,4.0,1473.3260498046875
2025-06-06 06:55:22,25.0,18.2,66.0,0.0,,290.0,13.0,,1012.5,,3.0,1464.427978515625
2025-06-13 06:52:14,18.9,8.8,52.0,0.0,,320.0,14.8,18.0,1017.7,,3.0,1456.303955078125
